Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	512,	0.002093035,	0.000071565,	32
M3: addition gpu multi core 2,	512,	0.002107930,	0.000077545,	64
M3: addition gpu multi core 2,	512,	0.002101853,	0.000081816,	128
M3: addition gpu multi core 2,	512,	0.002184972,	0.000892793,	256
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition gpu multi core 2,	1024,	0.006830143,	0.000890527,	2
M3: addition gpu multi core 2,	1024,	0.005760071,	0.000049008,	4
M3: addition gpu multi core 2,	1024,	0.005703332,	0.000172844,	8
M3: addition gpu multi core 2,	1024,	0.005643925,	0.000079950,	16
M3: addition gpu multi core 2,	1024,	0.005731482,	0.000157066,	32
M3: addition gpu multi core 2,	1024,	0.005699164,	0.000163152,	64
M3: addition gpu multi core 2,	1024,	0.005717623,	0.000112202,	128
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	2,	0.000000211,	0.000000110,	2
M3: multiplication cpu,	2,	0.000000057,	0.000000025,	4
M3: multiplication cpu,	2,	0.000000048,	0.000000004,	8
M3: multiplication cpu,	2,	0.000000048,	0.000000004,	16
M3: multiplication cpu,	2,	0.000000046,	0.000000005,	32
M3: multiplication cpu,	2,	0.000000047,	0.000000005,	64
M3: multiplication cpu,	2,	0.000000047,	0.000000005,	128
M3: multiplication cpu,	2,	0.000000047,	0.000000004,	256
M3: multiplication cpu,	2,	0.000000048,	0.000000004,	512
M3: multiplication cpu,	2,	0.000000047,	0.000000004,	1024
M3: multiplication cpu,	2,	0.000000047,	0.000000005,	2048
M3: multiplication cpu,	2,	0.000000051,	0.000000191,	4096
M3: multiplication cpu,	2,	0.000000048,	0.000000004,	8192
M3: multiplication cpu,	2,	0.000000047,	0.000000005,	16384
M3: multiplication cpu,	2,	0.000000047,	0.000000005,	32768
M3: multiplication cpu,	2,	0.000000047,	0.000000035,	65536
M3: multiplication cpu,	2,	0.000000047,	0.000000047,	131072
M3: multiplication cpu,	2,	0.000000049,	0.000000050,	262144
M3: multiplication cpu,	2,	0.000000049,	0.000000067,	524288
M3: multiplication cpu,	2,	0.000000049,	0.000000048,	1048576
M3: multiplication cpu,	2,	0.000000049,	0.000000054,	2097152
M3: multiplication cpu,	2,	0.000000049,	0.000000055,	4194304
M3: multiplication cpu,	2,	0.000000049,	0.000000051,	8388608
M3: multiplication cpu,	2,	0.000000049,	0.000000063,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	4,	0.000000325,	0.000000045,	2
M3: multiplication cpu,	4,	0.000000208,	0.000000037,	4
M3: multiplication cpu,	4,	0.000000187,	0.000000005,	8
M3: multiplication cpu,	4,	0.000000186,	0.000000005,	16
M3: multiplication cpu,	4,	0.000000187,	0.000000005,	32
M3: multiplication cpu,	4,	0.000000184,	0.000000005,	64
M3: multiplication cpu,	4,	0.000000188,	0.000000005,	128
M3: multiplication cpu,	4,	0.000000188,	0.000000004,	256
M3: multiplication cpu,	4,	0.000000184,	0.000000005,	512
M3: multiplication cpu,	4,	0.000000185,	0.000000005,	1024
M3: multiplication cpu,	4,	0.000000185,	0.000000005,	2048
M3: multiplication cpu,	4,	0.000000186,	0.000000005,	4096
M3: multiplication cpu,	4,	0.000000185,	0.000000089,	8192
M3: multiplication cpu,	4,	0.000000184,	0.000000005,	16384
M3: multiplication cpu,	4,	0.000000191,	0.000000134,	32768
M3: multiplication cpu,	4,	0.000000199,	0.000000097,	65536
M3: multiplication cpu,	4,	0.000000199,	0.000000217,	131072
M3: multiplication cpu,	4,	0.000000200,	0.000000089,	262144
M3: multiplication cpu,	4,	0.000000200,	0.000000075,	524288
M3: multiplication cpu,	4,	0.000000200,	0.000000118,	1048576
