Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	8,	0.000597967,	0.000032625,	16
shared memory multiplication,	8,	0.000587500,	0.000030947,	32
shared memory multiplication,	8,	0.000581034,	0.000033287,	64
shared memory multiplication,	8,	0.000585856,	0.000089630,	128
shared memory multiplication,	8,	0.000577160,	0.000039443,	256
shared memory multiplication,	8,	0.000631163,	0.000064476,	512
shared memory multiplication,	8,	0.000583833,	0.000159422,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	16,	0.000929865,	0.000289670,	2
shared memory multiplication,	16,	0.000597328,	0.000011749,	4
shared memory multiplication,	16,	0.000586479,	0.000033965,	8
shared memory multiplication,	16,	0.000587108,	0.000025877,	16
shared memory multiplication,	16,	0.000577848,	0.000024520,	32
shared memory multiplication,	16,	0.000586605,	0.000037145,	64
shared memory multiplication,	16,	0.000602255,	0.000079000,	128
shared memory multiplication,	16,	0.000586083,	0.000048398,	256
shared memory multiplication,	16,	0.000584406,	0.000041322,	512
shared memory multiplication,	16,	0.000603869,	0.000061948,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	32,	0.000870562,	0.000281043,	2
shared memory multiplication,	32,	0.000591309,	0.000017171,	4
shared memory multiplication,	32,	0.000621848,	0.000052699,	8
shared memory multiplication,	32,	0.000578264,	0.000023341,	16
shared memory multiplication,	32,	0.000580623,	0.000040887,	32
shared memory multiplication,	32,	0.000597210,	0.000047063,	64
shared memory multiplication,	32,	0.000593602,	0.000072838,	128
shared memory multiplication,	32,	0.000605700,	0.000065320,	256
shared memory multiplication,	32,	0.000613217,	0.000059413,	512
shared memory multiplication,	32,	0.000591639,	0.000049737,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	64,	0.000887680,	0.000267624,	2
shared memory multiplication,	64,	0.000595353,	0.000017425,	4
shared memory multiplication,	64,	0.000604748,	0.000017330,	8
shared memory multiplication,	64,	0.000585348,	0.000016455,	16
shared memory multiplication,	64,	0.000575732,	0.000030078,	32
shared memory multiplication,	64,	0.000597515,	0.000068841,	64
shared memory multiplication,	64,	0.000614785,	0.000057653,	128
shared memory multiplication,	64,	0.000648162,	0.000072294,	256
shared memory multiplication,	64,	0.000588592,	0.000043827,	512
shared memory multiplication,	64,	0.000603777,	0.000165943,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	128,	0.001067381,	0.000330973,	2
shared memory multiplication,	128,	0.000704747,	0.000039720,	4
shared memory multiplication,	128,	0.000650558,	0.000028923,	8
shared memory multiplication,	128,	0.000632069,	0.000017219,	16
shared memory multiplication,	128,	0.000646005,	0.000041876,	32
shared memory multiplication,	128,	0.000624623,	0.000062633,	64
shared memory multiplication,	128,	0.000616193,	0.000050528,	128
shared memory multiplication,	128,	0.000620193,	0.000045974,	256
shared memory multiplication,	128,	0.000619636,	0.000048737,	512
shared memory multiplication,	128,	0.000633589,	0.000069047,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	256,	0.001302662,	0.000326549,	2
shared memory multiplication,	256,	0.000940117,	0.000043649,	4
shared memory multiplication,	256,	0.000891579,	0.000020279,	8
shared memory multiplication,	256,	0.000886752,	0.000032898,	16
shared memory multiplication,	256,	0.000942959,	0.000063818,	32
shared memory multiplication,	256,	0.000936545,	0.000093357,	64
shared memory multiplication,	256,	0.000912092,	0.000047219,	128
shared memory multiplication,	256,	0.000938081,	0.000259254,	256
shared memory multiplication,	256,	0.000923904,	0.000132878,	512
shared memory multiplication,	256,	0.000922280,	0.000057304,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	512,	0.002311481,	0.000172283,	2
shared memory multiplication,	512,	0.001978104,	0.000044460,	4
shared memory multiplication,	512,	0.001954438,	0.000153385,	8
shared memory multiplication,	512,	0.001890295,	0.000041227,	16
shared memory multiplication,	512,	0.001978523,	0.000143211,	32
shared memory multiplication,	512,	0.001913925,	0.000098608,	64
shared memory multiplication,	512,	0.001836482,	0.000088094,	128
shared memory multiplication,	512,	0.001800661,	0.000085471,	256
shared memory multiplication,	512,	0.001834225,	0.000243372,	512
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	1024,	0.006121612,	0.000693340,	2
shared memory multiplication,	1024,	0.005355799,	0.000097032,	4
shared memory multiplication,	1024,	0.005393918,	0.000102011,	8
shared memory multiplication,	1024,	0.005316318,	0.000074050,	16
shared memory multiplication,	1024,	0.005351059,	0.000078647,	32
shared memory multiplication,	1024,	0.005378124,	0.000092621,	64
shared memory multiplication,	1024,	0.005409586,	0.000161449,	128
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	2048,	0.026367869,	0.001444051,	2
shared memory multiplication,	2048,	0.025054030,	0.000246793,	4
shared memory multiplication,	2048,	0.024710620,	0.000094536,	8
shared memory multiplication,	2048,	0.024795061,	0.000255129,	16
shared memory multiplication,	2048,	0.024911266,	0.000312791,	32
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
shared memory multiplication,	4096,	0.159568907,	0.003555082,	2
shared memory multiplication,	4096,	0.156734224,	0.000711476,	4
